Rank,Δ,Country or territory,HDI value,%annual growth(2010–2022)
1,,Switzerland,0.967,0.24%
2,(1),Norway,0.966,0.25%
3,,Iceland,0.959,0.28%
4,(2),Hong Kong,0.956,0.38%
5,(1),Denmark,0.952,0.35%
,,Sweden,0.38%,
7,(8),Ireland,0.95,0.38%
,(3),Germany,0.19%,
9,(1),Singapore,0.949,0.25%
10,(1),Netherlands,0.946,0.26%
,(1),Australia,0.20%,
12,(2),Liechtenstein,0.942,0.23%
,(3),Belgium,0.26%,
,,Finland,0.27%,
15,(3),United Kingdom,0.94,0.24%
16,(7),New Zealand,0.939,0.13%
17,(19),United Arab Emirates,0.937,1.04%
18,(5),Canada,0.935,0.22%
19,(3),South Korea,0.929,0.36%
20,(1),Luxembourg,0.927,0.14%
,(5),United States,0.10%,
22,(1),Slovenia,0.926,0.33%
,(1),Austria,0.21%,
24,(4),Japan,0.92,0.16%
25,(1),Israel,0.915,0.26%
,(3),Malta,0.50%,
27,,Spain,0.911,0.40%
28,(3),France,0.91,0.28%
29,(3),Cyprus,0.907,0.45%
30,,Italy,0.906,0.24%
31,(2),Estonia,0.899,0.33%
32,(6),Czech Republic,0.895,0.22%
33,(3),Greece,0.893,0.18%
34,(3),Bahrain,0.888,0.80%
35,(3),Andorra,0.884,0.20%
36,(2),Poland,0.881,0.35%
37,(2),Latvia,0.879,0.51%
,(2),Lithuania,0.32%,
39,(6),Croatia,0.878,0.53%
40,,Qatar,0.875,0.45%
,(6),Saudi Arabia,0.70%,
42,,Portugal,0.874,0.42%
43,(10),San Marino,0.867,0.32%
44,,Chile,0.86,0.47%
45,(9),Turkey,0.855,1.10%
,(5),Slovakia,0.14%,
47,,Hungary,0.851,0.22%
48,(6),Argentina,0.849,0.15%
49,,Kuwait,0.847,0.36%
50,(1),Montenegro,0.844,0.38%
51,(2),Saint Kitts and Nevis,0.838,0.49%
52,(8),Uruguay,0.83,0.47%
53,(3),Romania,0.827,0.14%
54,(1),Antigua and Barbuda,0.826,0.18%
55,(7),Brunei,0.823,0.13%
56,(3),Russia,0.821,0.25%
57,(3),Bahamas,0.82,0.21%
,(5),Panama,0.47%,
59,(7),Oman,0.819,0.22%
60,(3),Trinidad and Tobago,0.814,0.30%
,(4),Georgia,0.54%,
62,(2),Barbados,0.809,0.18%
63,(6),Malaysia,0.807,0.41%
64,(5),Costa Rica,0.806,0.39%
65,(3),Serbia,0.805,0.39%
66,(6),Thailand,0.803,0.65%
67,(1),Seychelles,0.802,0.30%
,(4),Kazakhstan,0.38%,
69,(11),Belarus,0.801,0.12%
70,(12),Bulgaria,0.799,0.09%
71,(3),Palau,0.797,0.23%
72,(1),Mauritius,0.796,0.44%
73,,Grenada,0.793,0.15%
74,(8),Albania,0.789,0.25%
75,(18),China,0.788,1.02%
76,(2),Armenia,0.786,0.52%
77,(1),Mexico,0.781,0.37%
78,(4),Iran,0.78,0.26%
,(6),Sri Lanka,0.50%,
80,(7),Bosnia and Herzegovina,0.779,0.68%
81,(5),Saint Vincent and the Grenadines,0.772,0.17%
82,(12),Dominican Republic,0.766,0.67%
83,(1),Ecuador,0.765,0.32%
,(7),North Macedonia,0.21%,
85,(4),Cuba,0.764,0.16%
86,(5),Moldova,0.763,0.53%
87,(13),Maldives,0.762,0.81%
,(2),Peru,0.42%,
89,(1),Azerbaijan,0.76,0.30%
,,Brazil,0.43%,
91,(6),Colombia,0.758,0.29%
92,(1),Libya,0.746,0.31%
93,(5),Algeria,0.745,0.27%
94,(7),Turkmenistan,0.744,0.52%
95,(27),Guyana,0.742,1.11%
96,(2),Mongolia,0.741,0.48%
97,(8),Dominica,0.74,0.06%
98,(5),Tonga,0.739,0.35%
99,(3),Jordan,0.736,0.10%
100,(18),Ukraine,0.734,0.35%
101,(1),Tunisia,0.732,0.22%
102,(17),Marshall Islands,0.731,NA[a]
,(6),Paraguay,0.36%,
104,(2),Fiji,0.729,0.35%
105,(11),Egypt,0.728,0.73%
106,(6),Uzbekistan,0.727,0.62%
107,(7),Vietnam,0.726,0.60%
108,(10),Saint Lucia,0.725,0.07%
109,(21),Lebanon,0.723,0.29%
110,(6),South Africa,0.717,0.50%
111,(2),Palestine,0.716,0.33%
112,(1),Indonesia,0.713,0.56%
113,(2),Philippines,0.71,0.45%
114,(5),Botswana,0.708,0.69%
115,(7),Jamaica,0.706,0.06%
116,(7),Samoa,0.702,0.02%
117,(1),Kyrgyzstan,0.701,0.49%
118,(11),Belize,0.7,0.23%
119,(39),Venezuela,0.699,0.68%
120,(5),Morocco,0.698,1.21%
,(1),Bolivia,0.45%,
122,(9),Nauru,0.696,1.84%
123,(6),Gabon,0.693,0.46%
124,(13),Suriname,0.69,0.07%
125,(10),Bhutan,0.681,1.32%
126,(2),Tajikistan,0.679,0.61%
127,(4),El Salvador,0.674,0.21%
128,(3),Iraq,0.673,0.57%
129,(12),Bangladesh,0.67,1.54%
130,,Nicaragua,0.669,0.76%
131,(7),Cape Verde,0.661,0.15%
132,(7),Tuvalu,0.653,0.39%
133,(4),Equatorial Guinea,0.65,0.54%
134,(4),India,0.644,0.99%
135,(4),Micronesia,0.634,0.13%
136,(3),Guatemala,0.629,0.21%
137,(2),Kiribati,0.628,0.61%
138,(1),Honduras,0.624,0.38%
139,(2),Laos,0.62,0.90%
140,(4),Vanuatu,0.614,0.50%
141,(2),São Tomé and Príncipe,0.613,0.86%
142,(5),Eswatini,0.61,1.70%
,(8),Namibia,0.36%,
144,(10),Myanmar,0.608,1.54%
145,(1),Ghana,0.602,0.44%
146,(3),Nepal,0.601,0.85%
,(2),Kenya,0.82%,
148,(2),Cambodia,0.6,0.85%
